param n := 128;
param : E :   a :=
1 1    2
1 2    3
1 3    1
1 4    4
1 5    4
1 6    4
1 7    1
1 8    3
1 9    8
1 10    3
1 11    5
1 12    9
1 13    5
1 14    8
1 15    8
1 16    3
1 17    12
1 18    2
1 19    9
1 20    9
1 21    6
1 22    1
1 23    9
1 24    6
1 25    4
1 26    7
1 27    1
1 28    2
1 29    5
1 30    12
1 31    12
1 32    20
1 33    21
1 34    5
1 35    5
1 36    1
1 37    8
1 38    5
1 39    9
1 40    9
1 41    11
1 42    8
1 43    7
1 44    17
1 45    5
1 46    1
1 47    15
1 48    16
1 49    7
1 50    9
1 51    9
1 52    1
1 53    2
1 54    17
1 55    7
1 56    3
1 57    8
1 58    2
1 59    16
1 60    21
1 61    3
1 62    22
1 63    31
1 64    21
1 65    1
1 66    33
1 67    18
1 68    16
1 69    24
1 70    9
1 71    16
1 72    13
1 73    1
1 74    15
1 75    7
1 76    4
1 77    7
1 78    8
1 79    8
1 80    20
1 81    1
1 82    11
1 83    9
1 84    11
1 85    2
1 86    17
1 87    9
1 88    5
1 89    12
1 90    11
1 91    14
1 92    7
1 93    9
1 94    2
1 95    26
1 96    35
1 97    15
1 98    5
1 99    1
1 100    4
1 101    6
1 102    13
1 103    6
1 104    14
1 105    11
1 106    5
1 107    5
1 108    9
1 109    1
1 110    31
1 111    5
1 112    39
1 113    5
1 114    15
1 115    6
1 116    6
1 117    6
1 118    29
1 119    25
1 120    5
1 121    17
1 122    8
1 123    31
1 124    56
1 125    12
1 126    11
1 127    19
1 128    28
2 1    3
2 2    1
2 3    3
2 4    5
2 5    5
2 6    2
2 7    3
2 8    8
2 9    3
2 10    3
2 11    5
2 12    9
2 13    1
2 14    9
2 15    7
2 16    8
2 17    13
2 18    9
2 19    9
2 20    9
2 21    6
2 22    8
2 23    9
2 24    3
2 25    9
2 26    7
2 27    1
2 28    13
2 29    7
2 30    4
2 31    16
2 32    31
2 33    8
2 34    15
2 35    12
2 36    2
2 37    12
2 38    6
2 39    2
2 40    11
2 41    8
2 42    7
2 43    8
2 44    16
2 45    6
2 46    12
2 47    6
2 48    16
2 49    3
2 50    5
2 51    6
2 52    13
2 53    8
2 54    8
2 55    9
2 56    21
2 57    3
2 58    16
2 59    6
2 60    22
2 61    1
2 62    14
2 63    4
2 64    38
2 65    44
2 66    8
2 67    27
2 68    13
2 69    4
2 70    6
2 71    7
2 72    13
2 73    12
2 74    8
2 75    5
2 76    2
2 77    6
2 78    11
2 79    7
2 80    12
2 81    22
2 82    9
2 83    2
2 84    15
2 85    7
2 86    13
2 87    2
2 88    6
2 89    13
2 90    12
2 91    7
2 92    13
2 93    6
2 94    23
2 95    3
2 96    65
2 97    26
2 98    3
2 99    15
2 100    7
2 101    3
2 102    10
2 103    8
2 104    15
2 105    16
2 106    17
2 107    4
2 108    12
2 109    1
2 110    9
2 111    16
2 112    52
2 113    10
2 114    7
2 115    11
2 116    16
2 117    5
2 118    4
2 119    14
2 120    11
2 121    11
2 122    33
2 123    24
2 124    24
2 125    5
2 126    24
2 127    4
2 128    47
3 1    1
3 2    1
3 3    3
3 4    1
3 5    4
3 6    4
3 7    2
3 8    8
3 9    2
3 10    3
3 11    1
3 12    4
3 13    1
3 14    3
3 15    4
3 16    10
3 17    10
3 18    2
3 19    9
3 20    9
3 21    5
3 22    6
3 23    4
3 24    15
3 25    3
3 26    6
3 27    1
3 28    1
3 29    9
3 30    10
3 31    9
3 32    8
3 33    19
3 34    17
3 35    16
3 36    6
3 37    14
3 38    1
3 39    7
3 40    3
3 41    9
3 42    7
3 43    8
3 44    7
3 45    8
3 46    3
3 47    2
3 48    33
3 49    17
3 50    3
3 51    2
3 52    1
3 53    3
3 54    3
3 55    1
3 56    17
3 57    6
3 58    8
3 59    17
3 60    27
3 61    4
3 62    8
3 63    28
3 64    59
3 65    7
3 66    17
3 67    10
3 68    2
3 69    18
3 70    4
3 71    7
3 72    5
3 73    32
3 74    11
3 75    9
3 76    16
3 77    14
3 78    13
3 79    17
3 80    28
3 81    9
3 82    13
3 83    6
3 84    9
3 85    17
3 86    1
3 87    7
3 88    12
3 89    7
3 90    5
3 91    1
3 92    5
3 93    13
3 94    19
3 95    4
3 96    42
3 97    20
3 98    9
3 99    4
3 100    12
3 101    9
3 102    14
3 103    10
3 104    6
3 105    9
3 106    13
3 107    12
3 108    1
3 109    11
3 110    13
3 111    28
3 112    15
3 113    17
3 114    16
3 115    17
3 116    12
3 117    2
3 118    7
3 119    5
3 120    22
3 121    9
3 122    3
3 123    17
3 124    3
3 125    16
3 126    26
3 127    35
3 128    105
4 1    4
4 2    3
4 3    3
4 4    3
4 5    4
4 6    2
4 7    4
4 8    7
4 9    2
4 10    4
4 11    1
4 12    6
4 13    3
4 14    7
4 15    9
4 16    17
4 17    14
4 18    1
4 19    1
4 20    8
4 21    8
4 22    9
4 23    8
4 24    12
4 25    5
4 26    3
4 27    6
4 28    16
4 29    4
4 30    9
4 31    8
4 32    2
4 33    5
4 34    8
4 35    14
4 36    1
4 37    9
4 38    2
4 39    1
4 40    16
4 41    12
4 42    3
4 43    7
4 44    5
4 45    9
4 46    4
4 47    16
4 48    2
4 49    3
4 50    8
4 51    9
4 52    13
4 53    1
4 54    14
4 55    12
4 56    3
4 57    4
4 58    1
4 59    14
4 60    7
4 61    11
4 62    14
4 63    22
4 64    54
4 65    23
4 66    28
4 67    11
4 68    5
4 69    24
4 70    9
4 71    16
4 72    10
4 73    33
4 74    7
4 75    6
4 76    6
4 77    9
4 78    14
4 79    8
4 80    16
4 81    13
4 82    12
4 83    4
4 84    16
4 85    3
4 86    8
4 87    14
4 88    14
4 89    12
4 90    4
4 91    16
4 92    3
4 93    11
4 94    1
4 95    1
4 96    9
4 97    1
4 98    5
4 99    3
4 100    8
4 101    3
4 102    13
4 103    9
4 104    16
4 105    4
4 106    11
4 107    2
4 108    24
4 109    10
4 110    25
4 111    21
4 112    15
4 113    16
4 114    7
4 115    2
4 116    33
4 117    5
4 118    29
4 119    17
4 120    52
4 121    1
4 122    4
4 123    32
4 124    14
4 125    30
4 126    63
4 127    27
4 128    62
5 1    2
5 2    3
5 3    2
5 4    5
5 5    1
5 6    4
5 7    1
5 8    1
5 9    4
5 10    1
5 11    3
5 12    4
5 13    3
5 14    4
5 15    9
5 16    8
5 17    10
5 18    6
5 19    3
5 20    3
5 21    9
5 22    6
5 23    9
5 24    11
5 25    4
5 26    4
5 27    4
5 28    15
5 29    1
5 30    17
5 31    13
5 32    31
5 33    1
5 34    16
5 35    2
5 36    9
5 37    2
5 38    9
5 39    4
5 40    9
5 41    7
5 42    1
5 43    7
5 44    1
5 45    4
5 46    17
5 47    17
5 48    29
5 49    16
5 50    4
5 51    9
5 52    12
5 53    7
5 54    3
5 55    1
5 56    20
5 57    8
5 58    15
5 59    6
5 60    23
5 61    8
5 62    2
5 63    4
5 64    4
5 65    35
5 66    16
5 67    16
5 68    6
